scorer,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000,DLC_resnet50_RV2_LowEOct20shuffle1_500000
bodyparts,red_LED,red_LED,red_LED,blue_LED,blue_LED,blue_LED
coords,x,y,likelihood,x,y,likelihood
140,531.818603515625,174.76451110839844,2.925936132669449e-05,106.47645568847656,-1.4095921516418457,4.9240920816373546e-06
141,189.2006378173828,472.9123229980469,2.9291748433024622e-05,190.27491760253906,483.9615478515625,1.5972889741533436e-05
142,532.947265625,170.4705810546875,2.197971843997948e-05,190.20465087890625,484.0007629394531,5.116526153869927e-06
143,532.7118530273438,174.90719604492188,2.4368435333599336e-05,190.34698486328125,484.0347595214844,6.055962785467273e-06
144,178.9813995361328,482.72705078125,4.051156429341063e-05,188.95828247070312,484.4363098144531,2.1774339984403923e-05
145,532.334228515625,175.27374267578125,3.838170596281998e-05,536.7607421875,175.41085815429688,5.965656782791484e-06
146,163.47866821289062,482.4171142578125,1.6939511624514125e-05,173.8534698486328,484.2222900390625,9.051627785083838e-06
147,179.538330078125,482.2416687011719,0.0003280043601989746,559.5145874023438,241.39529418945312,7.213735079858452e-05
148,189.6372528076172,473.356201171875,2.5275350708398037e-05,190.91636657714844,484.1490783691406,1.4842551536276005e-05
149,179.5897979736328,474.1628723144531,2.1954117983113974e-05,559.9241943359375,241.23553466796875,8.151656220434234e-05
150,189.25274658203125,472.68255615234375,2.9233422537799925e-05,190.2794189453125,484.0476379394531,1.4209645087248646e-05
151,172.82473754882812,482.6292419433594,1.3341687918000389e-05,174.6663818359375,483.78509521484375,8.827825695334468e-06
152,189.89447021484375,472.9248352050781,6.01035644649528e-05,191.32415771484375,484.0297546386719,2.464129647705704e-05
153,179.21766662597656,474.00115966796875,8.802865522739012e-06,5.310410976409912,-0.1869058609008789,4.799797807208961e-06
154,179.5165252685547,474.3222351074219,1.2424606211425271e-05,189.41526794433594,484.4844055175781,8.865470590535551e-06
155,179.81825256347656,482.3626708984375,0.0016242265701293945,188.27194213867188,483.6041564941406,0.0004093348979949951
156,531.2653198242188,173.693359375,8.988290574052371e-06,649.5568237304688,292.16595458984375,8.846442142385058e-06
